TrainingHours,FitnessScore,PerformanceRating,OpponentRank
5.0,57.05,2.964,84
7.83,66.58,4.059,96
6.66,62.6,4.902,53
4.94,72.31,5.943,15
7.03,81.64,4.559,89
6.19,80.54,6.819,17
7.94,87.57,8.168,22
4.6,85.34,5.869,34
5.34,69.71,5.429,33
5.22,75.19,5.759,25
3.07,74.67,5.605,14
6.59,53.49,4.755,50
6.52,62.83,5.93,30
6.01,73.33,3.802,86
5.53,73.27,5.825,22
3.17,80.12,3.197,83
5.16,79.64,7.128,4
5.31,57.29,3.304,72
4.4,80.19,5.289,45
5.68,76.79,4.519,74
6.81,81.23,7.154,28
9.77,85.67,7.456,54
6.35,73.57,5.166,58
6.52,87.46,4.996,85
5.85,66.11,4.399,65
2.16,65.54,3.957,37
5.95,79.29,5.068,54
6.12,71.31,3.515,98
10.0,77.62,8.758,11
5.62,94.93,7.577,16
6.6,78.93,4.749,78
5.93,77.12,4.892,65
3.66,66.31,2.189,95
8.29,58.0,5.553,44
7.5,74.27,6.324,43
7.58,85.67,5.6,76
4.18,71.77,5.332,27
8.81,79.01,5.701,81
3.2,89.26,3.538,80
7.17,89.02,8.235,1
10.0,79.29,8.044,30
4.02,76.7,4.247,64
4.87,59.81,4.605,37
6.2,68.7,6.395,23
4.99,72.19,5.769,27
2.9,66.48,2.427,80
6.14,77.48,4.238,88
3.88,94.12,6.095,28
6.95,90.18,7.314,30
4.16,77.44,3.39,90
9.1,82.79,5.953,88
4.43,67.71,2.465,95
5.36,89.64,4.365,89
7.63,59.38,5.667,51
3.54,84.13,6.937,2
6.45,79.96,4.919,71
8.61,67.44,4.608,87
2.79,72.91,2.31,93
6.37,63.66,5.745,35
6.52,64.08,3.168,94
7.56,59.09,6.331,29
3.53,82.68,5.57,31
3.36,87.05,5.149,42
7.04,53.38,4.315,66
6.59,93.38,6.258,51
6.5,74.88,4.174,79
6.69,77.9,7.18,16
4.64,60.28,5.824,8
6.46,88.21,5.382,61
6.59,77.0,4.166,92
4.57,86.39,5.834,40
9.73,87.21,6.398,81
6.95,88.35,6.283,57
3.62,68.52,2.972,78
7.31,72.92,4.434,85
4.05,68.88,4.521,50
7.57,83.95,7.49,27
8.32,78.33,4.96,85
4.36,85.69,5.607,32
7.93,86.13,5.804,80
6.83,57.73,5.707,28
7.64,88.51,7.431,29
9.79,84.51,7.444,49
5.51,71.31,5.945,36
4.49,78.5,5.476,24
4.22,73.76,3.253,85
4.37,81.16,5.708,39
5.85,71.29,5.332,50
6.68,79.79,7.613,8
6.55,75.67,3.818,92
7.65,70.68,4.599,82
6.03,76.9,4.208,83
8.91,100.0,8.922,19
5.47,68.14,5.504,38
10.0,72.5,7.674,44
7.25,68.32,6.621,26
4.29,69.37,3.742,70
3.86,83.16,4.834,49
6.96,82.16,6.923,26
5.55,74.94,3.654,92
7.43,85.26,6.883,32
6.95,82.93,6.883,34
5.85,73.38,5.203,45
4.31,59.66,4.669,37
2.97,83.3,2.636,89
5.11,76.7,3.8,86
7.71,75.22,4.73,95
6.43,70.34,7.007,6
3.51,82.45,5.244,31
6.35,78.48,5.072,65
6.77,72.63,7.351,9
4.23,62.75,2.702,76
6.31,85.68,7.034,21
6.12,81.05,5.31,67
3.71,77.55,4.832,42
6.72,48.43,4.564,46
7.12,74.62,7.533,5
8.17,72.59,6.914,37
8.11,68.82,5.206,77
3.24,82.54,5.449,29
4.12,82.15,3.377,92
7.03,79.37,5.811,49
7.03,85.38,7.207,25
7.03,64.78,7.099,10
10.0,70.46,5.126,98
7.14,75.75,7.303,15
8.27,68.78,6.626,30
7.91,82.27,5.524,77
7.3,69.78,4.923,59
5.37,87.98,5.461,55
7.52,65.69,5.387,55
4.45,96.32,4.632,69
5.53,95.29,7.464,14
5.03,74.05,3.712,74
6.16,86.46,3.994,98
10.0,71.0,4.835,95
2.27,85.13,4.284,56
7.37,73.24,4.959,61
2.77,62.15,5.276,5
5.06,39.67,4.751,6
8.18,72.31,7.656,13
6.13,77.79,6.076,40
3.84,88.3,4.678,59
4.57,75.37,6.192,13
7.36,85.03,6.344,46
4.54,70.46,2.563,97
6.43,71.63,6.591,23
6.09,85.54,6.86,21
4.7,50.35,3.218,72
10.0,75.13,7.87,34
7.27,71.0,6.149,53
1.95,88.61,2.187,95
6.37,69.72,5.461,31
4.68,80.17,3.649,84
7.7,84.22,4.358,99
4.41,60.07,3.502,66
5.77,73.61,3.787,88
7.01,70.68,4.896,75
7.73,84.46,5.938,68
3.6,81.75,5.245,26
5.33,72.67,6.412,14
5.05,64.53,3.384,84
4.69,85.38,3.533,100
9.53,74.32,7.874,25
6.81,58.82,4.036,74
3.48,59.68,2.071,99
7.84,79.38,5.751,64
10.0,62.24,6.021,69
8.06,93.6,6.671,68
2.96,65.63,5.105,20
5.03,75.0,3.734,87
8.53,76.59,6.982,43
4.58,67.71,6.191,5
6.89,52.6,3.272,93
7.55,76.91,4.398,93
4.15,67.47,5.179,32
5.88,76.17,3.689,86
0.0,73.78,2.902,45
3.95,77.63,4.727,43
5.49,90.62,4.64,71
3.5,69.54,2.034,97
9.26,70.31,7.295,22
3.14,58.34,3.643,41
5.12,73.05,4.638,58
6.26,79.1,5.551,59
8.88,70.17,7.196,28
3.13,79.16,2.525,85
8.33,73.22,6.069,55
6.02,61.98,5.008,51
4.04,78.12,4.808,36
6.92,72.94,4.808,68
6.4,76.23,5.842,43
4.8,69.33,5.97,6
6.14,68.45,3.695,83
5.23,76.57,5.374,51
6.23,72.69,5.413,53
7.32,92.24,7.991,11
9.17,82.99,7.286,50
3.52,80.45,5.893,17
10.0,73.23,7.592,46
2.1,54.74,1.558,82
5.7,66.92,4.859,46
7.18,68.53,4.277,77
6.56,72.25,5.933,41
4.75,74.67,4.765,51
5.58,81.56,7.115,11
5.01,77.73,4.87,51
4.82,86.59,6.423,27
7.7,71.88,6.285,49
6.71,77.57,7.187,16
4.61,78.44,5.146,50
7.8,77.46,7.715,15
6.61,87.82,6.101,54
7.63,83.04,7.747,14
7.26,61.81,4.481,79
4.34,73.86,3.224,82
4.88,74.86,3.916,76
7.49,96.52,7.707,26
7.22,71.7,6.348,40
5.96,65.18,6.151,18
6.23,79.38,6.732,26
8.56,79.97,7.696,18
4.82,74.26,6.552,1
7.09,72.8,6.932,16
5.6,84.49,6.815,21
5.56,66.46,3.984,72
8.2,71.59,5.502,66
7.65,69.78,4.422,83
7.63,85.94,4.596,93
8.61,77.85,5.057,94
6.04,64.35,6.56,3
7.36,65.35,7.296,8
5.38,93.73,3.677,99
6.65,85.83,7.409,18
5.74,83.42,4.336,90
6.19,75.12,6.547,25
7.19,90.08,5.715,72
4.36,63.97,5.669,18
10.0,82.53,8.342,24
3.99,70.57,3.412,69
3.57,72.51,5.231,26
8.32,82.26,5.679,74
7.58,73.56,7.385,11
7.25,70.65,7.255,4
7.26,70.05,7.056,10
5.98,55.14,6.184,12
4.21,82.63,4.17,74
6.15,64.93,7.06,12
4.65,93.58,7.607,5
7.95,72.12,4.576,91
5.71,88.09,4.182,97
4.35,56.91,1.833,96
5.36,82.31,7.307,5
6.83,84.89,7.206,23
4.87,88.04,5.717,56
4.36,59.72,2.775,88
6.49,67.97,5.643,46
6.49,80.77,7.533,2
4.99,76.48,4.012,94
5.06,77.93,4.115,74
6.46,71.4,7.22,1
3.1,90.51,6.453,13
3.19,100.0,4.532,60
4.56,76.04,5.151,36
5.57,79.53,4.755,62
6.62,75.56,5.23,63
8.95,87.84,6.629,67
7.72,83.29,7.696,16
5.68,64.34,3.623,78
5.96,68.87,4.827,40
3.99,64.91,4.113,48
5.96,100.0,6.645,46
5.42,81.35,7.41,5
6.65,69.04,6.381,25
4.35,68.24,4.989,38
7.04,83.05,5.976,54
9.07,84.05,5.879,93
5.78,82.98,4.438,81
6.8,70.74,4.658,73
7.38,78.06,4.663,82
5.2,76.11,4.264,76
6.45,65.64,5.459,45
6.03,65.74,5.681,39
6.2,79.12,6.413,28
4.45,76.96,4.718,53
6.05,80.53,5.818,54
7.0,82.91,4.797,96
8.9,89.99,8.736,20
7.92,67.24,5.837,55
10.0,81.3,6.571,65
4.47,82.49,3.952,76
7.74,71.88,6.648,22
6.37,76.22,5.685,51
10.0,72.13,6.108,72
4.38,96.09,7.236,12
4.32,76.05,4.29,59
4.8,79.52,4.726,54
1.75,72.36,3.195,53
4.95,70.2,3.559,88
4.48,61.98,4.911,38
6.3,86.0,4.338,92
6.68,82.68,7.85,12
9.75,71.99,5.356,95
7.9,66.0,4.068,92
4.85,76.8,3.912,73
4.2,70.02,2.767,86
6.98,72.78,7.359,7
3.36,62.36,3.144,68
9.66,77.17,7.787,29
8.36,77.37,6.506,45
5.06,85.95,7.361,10
2.57,73.49,2.562,85
8.71,71.66,8.215,4
5.77,59.43,5.151,24
8.48,86.01,5.745,85
2.81,83.93,2.855,82
4.8,75.29,5.857,26
6.01,61.71,4.748,56
6.09,62.85,4.276,72
5.1,69.53,5.605,23
7.25,84.65,8.193,9
3.86,77.9,5.588,25
5.72,60.07,2.736,100
6.24,79.04,6.115,32
7.03,66.61,6.809,7
7.42,69.78,4.348,97
3.75,84.72,4.835,59
2.93,82.66,3.604,59
8.56,85.93,5.393,95
6.66,74.77,5.093,62
4.5,83.83,6.635,17
9.1,69.14,6.734,35
6.23,72.42,3.918,86
8.36,71.74,6.062,58
6.14,75.24,5.887,29
10.0,62.14,5.761,63
9.51,72.75,6.508,56
5.5,89.52,5.014,63
7.94,64.07,4.476,82
7.29,61.71,5.438,47
8.74,62.51,5.195,74
4.07,100.0,7.132,15
7.37,79.65,5.792,57
8.12,72.3,8.068,7
2.48,75.68,2.515,78
3.63,77.28,2.669,90
1.92,68.6,4.035,18
5.46,69.83,3.621,82
7.44,73.42,7.966,6
9.0,67.75,6.655,43
6.15,71.03,3.532,89
9.26,78.53,6.214,57
3.24,65.03,3.691,41
2.59,100.0,3.868,76
5.89,82.53,5.534,51
6.77,62.3,4.854,61
5.93,50.22,2.829,94
1.87,68.12,4.574,19
5.82,81.84,6.619,21
3.39,79.9,3.414,80
7.34,73.89,6.625,35
6.73,68.99,4.853,71
4.12,65.96,3.816,54
4.97,70.97,3.578,83
3.88,64.88,5.091,26
5.87,71.01,5.459,41
7.91,88.31,5.246,82
4.03,67.29,5.688,12
7.01,81.11,7.691,5
4.94,82.63,6.392,26
4.41,64.2,5.959,5
5.79,66.57,5.398,38
3.93,85.69,3.608,82
4.89,65.74,6.166,6
3.6,74.43,6.612,1
9.93,95.4,7.133,75
6.07,84.8,4.36,80
4.6,75.85,3.229,90
6.43,83.41,6.061,39
5.78,74.44,5.668,49
5.56,85.18,4.667,82
7.23,54.54,3.431,100
7.52,73.61,6.108,37
4.94,54.14,2.196,90
4.85,76.61,2.92,97
5.45,72.64,6.742,1
1.4,88.61,2.142,91
2.97,82.12,4.688,37
8.73,69.74,4.872,86
9.29,70.94,7.953,19
5.5,78.81,4.399,77
7.15,69.27,6.375,37
6.62,74.68,5.478,56
10.0,88.17,7.109,67
8.24,66.71,4.669,91
5.74,70.52,5.843,35
4.09,71.93,3.581,73
2.79,100.0,3.329,84
6.41,81.08,7.102,26
4.49,86.32,4.996,46
3.16,82.68,4.901,35
4.71,83.35,3.296,85
3.84,79.74,3.244,96
9.37,78.65,7.978,22
7.76,60.49,6.949,14
5.98,78.58,5.982,29
8.96,73.92,6.358,58
6.15,80.45,6.678,31
4.28,74.29,5.706,17
9.05,82.63,8.102,23
7.08,84.4,5.982,59
3.93,45.88,3.501,36
5.62,70.66,3.668,89
4.25,56.43,2.351,82
3.23,77.39,3.954,59
7.85,71.99,4.85,80
9.82,88.56,9.782,2
3.2,77.07,2.729,90
7.13,70.14,3.286,98
4.7,84.39,6.736,12
5.03,71.82,6.419,10
4.82,70.02,3.056,93
4.27,78.94,6.561,2
6.1,91.13,7.13,16
4.34,83.54,5.238,36
6.54,80.67,5.851,49
5.9,100.0,7.328,36
5.52,67.68,3.423,86
4.18,67.45,5.96,6
4.85,76.46,3.064,99
7.51,90.15,5.131,95
7.0,65.58,7.203,2
4.04,92.55,3.541,99
6.2,60.61,5.93,28
7.5,73.79,7.823,7
2.66,76.73,5.375,21
7.09,66.17,5.411,62
4.67,68.79,2.981,89
7.14,82.97,4.863,82
4.47,89.42,5.39,41
2.39,53.85,3.228,43
2.74,76.8,2.96,77
6.1,73.87,7.196,8
6.52,76.07,7.021,14
4.19,71.83,3.008,81
7.28,62.1,4.3,77
2.68,90.42,5.744,11
5.87,86.59,7.38,10
3.58,73.96,2.919,81
4.7,70.12,5.696,29
6.09,68.91,5.25,55
4.28,49.14,5.388,2
5.23,78.54,6.711,1
8.01,82.8,6.479,47
4.85,76.38,3.327,91
7.67,74.14,4.585,83
3.74,76.33,5.647,18
7.06,66.47,6.423,35
8.88,70.0,5.418,73
1.06,73.34,2.691,62
4.41,81.97,6.036,25
7.15,88.79,4.864,86
5.59,72.71,3.901,77
6.74,64.55,6.015,29
4.79,75.36,3.484,86
6.17,95.11,5.35,80
5.69,65.42,5.805,19
8.34,83.86,5.927,72
6.51,88.36,4.519,76
6.68,71.4,4.877,66
5.18,67.99,4.046,69
5.02,80.75,4.142,78
5.13,78.53,4.413,80
6.79,81.95,4.003,98
5.16,95.74,7.415,10
6.58,76.67,4.797,72
10.0,63.08,7.702,25
7.74,75.67,7.462,27
5.35,77.42,5.007,61
8.4,87.67,8.445,10
5.18,73.03,5.146,36
1.92,70.91,4.06,39
3.98,61.29,5.638,7
2.26,80.47,5.526,15
5.3,100.0,7.327,13
6.04,72.77,5.815,33
9.35,79.52,4.912,99
6.65,69.52,4.963,66
5.56,62.19,5.71,11
7.66,79.34,7.134,21
1.58,75.28,2.422,78
6.47,51.14,2.589,89
7.54,91.1,7.879,23
3.04,79.16,4.387,44
8.29,75.74,5.243,65
6.68,70.78,4.944,70
5.17,79.05,5.314,36
7.27,79.51,5.784,62
10.0,79.01,6.264,82
6.36,85.68,6.389,42
6.5,87.95,5.632,69
5.08,95.06,5.447,52
4.3,66.63,6.033,1
7.66,69.27,6.911,30
4.29,78.61,7.042,1
6.14,67.21,5.65,48
5.04,68.82,5.989,14
6.96,79.75,4.355,92
6.67,84.01,7.007,31
8.08,87.76,6.301,62
4.98,73.07,2.933,87
5.46,79.63,6.258,31
4.04,77.43,6.289,7
5.11,75.18,6.27,20
6.75,66.84,4.201,84
7.51,65.57,6.532,31
4.16,81.67,6.573,9
7.74,66.67,7.364,11
8.71,57.23,7.658,6
6.83,74.68,5.778,43
9.75,89.55,7.229,59
4.45,47.05,4.583,18
3.51,72.12,4.956,29
2.44,81.75,5.995,1
8.99,56.77,5.741,44
7.31,72.87,6.38,33
5.89,63.61,4.398,67
6.56,64.93,5.582,38
3.75,70.98,4.605,41
10.0,63.77,8.432,16
6.26,62.94,5.523,38
6.22,74.41,5.291,63
7.45,97.27,5.125,99
6.96,82.58,4.472,90
6.45,85.11,3.975,100
4.42,82.97,3.756,85
6.94,68.02,3.571,100
9.76,78.11,6.138,83
8.69,85.98,9.181,9
9.19,83.28,8.257,27
4.98,76.95,5.809,31
4.02,80.2,6.245,15
5.75,99.63,4.665,96
6.11,83.39,6.681,29
8.19,71.85,7.723,9
2.62,74.26,4.001,44
9.06,64.46,5.119,81
5.68,98.47,5.675,60
5.15,91.04,4.596,78
3.98,75.83,5.33,39
2.69,96.81,4.587,51
7.65,81.32,6.675,40
6.15,70.69,4.675,63
3.42,84.06,6.616,6
3.41,78.99,4.998,38
5.33,83.38,6.352,32
9.34,61.31,8.223,6
5.48,66.9,5.19,54
2.99,89.88,4.276,51
5.51,91.93,4.765,96
5.45,89.15,4.147,98
0.61,97.19,5.15,34
5.89,80.77,4.492,76
5.54,80.07,7.058,9
7.39,65.87,7.148,5
9.7,69.19,5.191,81
8.25,55.12,3.86,92
5.46,71.79,4.499,61
3.79,54.41,2.06,86
10.0,85.81,9.158,6
6.12,78.88,5.704,50
6.03,54.74,5.279,32
5.95,73.1,6.542,19
6.4,94.68,5.925,58
5.71,73.74,5.092,48
4.85,65.02,5.768,17
4.91,57.14,3.505,60
5.93,57.44,6.235,10
4.91,80.36,3.761,79
4.57,70.66,4.823,50
6.21,71.49,5.659,38
5.49,70.7,3.936,85
9.01,73.6,7.161,40
0.7,62.73,4.206,3
8.18,78.16,4.828,94
8.49,60.77,4.986,79
1.85,67.44,1.484,91
5.31,85.11,6.166,31
5.26,78.76,6.631,16
3.18,81.86,5.555,28
4.44,96.5,5.815,45
3.78,74.4,4.981,37
9.5,75.21,7.495,43
7.87,72.36,5.043,73
8.54,70.57,5.165,73
7.44,64.89,4.806,76
3.74,75.84,5.438,28
4.95,78.55,3.935,71
6.98,79.11,5.945,60
3.56,75.64,3.948,64
7.43,84.26,6.122,60
5.52,75.29,3.236,99
5.25,70.91,5.312,36
7.42,65.73,5.783,47
6.89,59.51,5.805,38
5.28,89.6,4.926,65
8.32,68.01,6.711,34
3.84,65.74,5.328,22
7.23,70.82,4.251,94
7.19,72.22,4.303,84
5.38,91.39,5.817,51
6.65,71.72,4.558,72
3.5,100.0,5.611,45
7.85,75.64,5.439,71
5.63,95.57,8.045,2
4.95,83.94,5.263,58
8.1,78.61,4.751,94
4.59,90.78,6.604,12
3.18,86.22,2.516,100
2.89,81.35,5.816,27
7.21,98.18,4.873,98
3.44,70.02,4.636,38
9.51,65.05,5.804,75
1.84,68.24,4.844,20
9.39,92.52,5.94,94
6.42,89.51,6.674,43
5.81,69.75,5.767,32
4.91,51.45,2.151,90
6.8,72.94,6.701,23
5.92,64.87,5.124,41
8.21,70.06,4.954,88
6.23,64.46,7.306,2
6.3,58.9,4.391,62
5.27,93.83,3.895,96
5.89,68.16,4.7,53
6.62,89.13,6.276,57
2.58,72.79,3.709,48
3.3,63.69,2.228,79
7.49,80.09,8.2,6
6.34,71.09,6.815,16
5.63,72.93,6.427,11
6.04,76.45,5.607,46
6.7,66.88,4.627,73
4.92,58.79,4.077,57
4.44,74.49,3.954,67
6.39,84.64,7.487,7
4.04,65.98,3.911,52
6.82,76.54,5.795,52
2.59,90.06,5.53,30
8.06,74.1,6.155,55
6.95,75.86,6.692,22
6.51,75.55,7.574,4
7.97,68.18,7.391,5
9.33,65.07,7.849,22
8.03,65.11,5.508,68
2.32,78.68,5.719,4
3.44,82.58,4.734,43
4.75,83.05,6.681,15
6.05,71.21,6.461,16
7.04,85.93,4.758,84
4.55,78.07,4.201,58
6.37,75.71,4.932,74
4.49,41.61,4.126,33
4.78,66.83,2.604,95
3.19,59.79,3.01,65
4.15,81.27,5.742,25
3.3,75.95,4.702,37
4.05,64.28,5.226,18
8.11,78.04,7.599,25
4.1,60.77,5.225,15
10.0,64.56,5.802,68
6.99,67.9,5.89,35
6.37,80.4,4.785,68
4.28,88.99,5.621,42
7.4,69.14,4.1,84
4.85,88.22,7.224,12
6.24,75.47,3.864,94
10.0,77.36,7.723,22
5.81,74.36,5.706,36
8.3,73.03,6.705,34
4.59,79.39,2.861,91
5.93,82.4,6.848,25
9.54,66.15,7.097,39
4.75,73.11,3.959,76
9.62,91.69,7.387,59
7.42,76.77,5.31,76
4.88,77.87,3.758,85
7.26,86.67,6.673,50
7.95,69.99,5.74,61
7.24,74.66,6.767,33
2.86,83.17,6.209,7
4.55,87.39,6.402,19
5.5,51.35,2.259,88
5.85,67.63,6.313,20
7.24,65.02,7.172,5
6.36,73.76,3.501,94
3.33,65.77,5.487,7
6.76,81.64,7.142,20
7.22,76.72,6.234,47
7.12,83.89,5.234,81
8.16,84.53,4.94,98
7.67,81.79,8.022,7
6.92,71.64,4.196,75
5.86,76.04,4.006,82
2.68,70.39,2.011,94
6.86,61.35,4.223,84
6.42,84.54,5.135,64
6.54,74.16,4.503,66
3.45,59.97,5.426,7
3.84,80.37,3.072,91
8.11,72.76,7.395,15
5.92,54.4,3.314,83
7.36,61.26,5.737,34
6.06,67.99,4.989,66
6.06,77.11,6.577,28
7.88,82.88,6.118,66
4.97,82.54,6.846,11
6.19,81.03,5.02,70
5.08,74.66,4.642,56
5.13,92.22,6.907,23
5.38,82.0,7.063,10
6.44,77.22,4.119,97
5.04,80.67,3.904,83
8.51,71.01,5.378,75
4.21,74.43,5.348,24
5.63,54.18,4.123,60
5.12,71.13,3.207,92
8.89,92.6,8.998,12
6.39,76.48,4.124,92
8.06,76.07,8.198,5
3.03,84.99,5.634,19
6.53,78.58,5.166,72
7.78,67.14,6.42,37
6.16,75.24,6.312,28
8.13,63.65,6.207,44
4.97,76.84,5.396,43
8.82,66.62,5.411,69
10.0,84.28,6.903,72
5.27,69.9,3.584,88
5.11,66.75,5.303,20
8.91,73.87,4.429,99
9.16,78.65,8.344,6
4.95,62.93,3.325,69
5.16,69.79,4.089,74
5.44,76.05,3.345,92
3.31,88.38,6.495,12
4.16,49.71,4.947,15
3.99,81.15,4.167,67
4.46,71.16,2.971,87
5.93,70.05,4.451,63
6.47,68.19,5.667,36
9.1,71.36,8.398,7
4.0,81.21,6.776,1
7.97,69.63,4.509,72
5.57,91.59,4.605,91
5.9,81.24,5.595,49
7.35,76.98,7.185,22
3.75,73.34,4.42,52
6.76,86.9,4.212,95
6.33,88.36,6.061,43
6.98,63.39,5.548,39
6.58,67.98,4.608,75
10.0,81.35,7.684,43
4.72,84.37,5.317,54
4.94,72.0,5.389,21
4.75,67.58,5.848,15
4.89,75.79,3.022,92
4.73,89.77,6.168,38
8.38,75.41,7.404,23
8.84,62.36,4.227,91
4.86,76.1,3.562,83
4.34,82.83,3.445,80
6.94,73.99,4.735,76
4.9,87.58,5.153,51
7.27,83.66,7.126,23
6.41,74.38,5.488,51
2.97,75.43,2.781,71
9.1,56.58,6.005,46
9.59,87.1,5.625,94
4.77,71.7,4.56,61
5.22,71.0,6.355,16
6.57,69.5,4.822,60
6.67,79.57,6.39,32
7.32,63.71,5.903,41
10.0,65.16,6.303,60
5.65,74.47,6.635,21
4.4,68.73,3.752,68
3.24,78.35,6.063,7
4.54,69.1,3.025,91
5.93,90.95,5.611,70
9.59,81.93,8.455,20
4.96,81.81,5.635,44
6.45,68.95,5.54,44
5.97,99.06,7.748,12
8.38,70.61,6.022,59
10.0,67.86,5.578,78
4.94,82.07,5.597,34
5.02,76.95,5.185,44
8.09,66.82,4.845,81
7.36,96.96,7.314,40
9.69,84.76,6.371,84
7.17,75.04,7.984,2
5.28,99.01,6.202,61
7.18,83.11,7.366,21
8.22,74.88,7.974,12
7.64,97.81,6.369,77
7.01,81.59,5.2,65
8.13,81.15,5.639,82
8.34,71.14,4.79,78
8.76,75.49,5.161,95
7.3,70.89,4.361,88
5.67,89.4,7.329,12
6.29,58.91,4.503,52
8.41,88.66,5.217,89
4.37,66.23,2.252,100
6.74,74.42,6.991,14
5.21,72.05,6.011,18
6.06,69.8,6.106,24
8.56,81.9,7.918,26
6.38,74.95,4.175,94
6.09,68.32,4.613,61
3.28,76.54,3.573,68
7.49,68.04,4.947,64
7.29,69.62,6.033,40
10.0,60.03,7.156,29
5.38,70.5,6.347,18
6.44,79.94,4.887,68
6.5,75.37,5.357,59
9.15,93.15,5.504,97
5.81,100.0,6.548,56
6.56,70.36,4.965,66
7.22,66.67,7.063,12
6.37,86.3,7.369,22
5.11,78.35,4.857,62
6.39,86.36,7.128,26
8.15,78.99,7.673,14
3.95,73.06,6.267,9
6.27,73.11,4.72,74
4.6,79.33,6.552,7
8.39,72.89,6.589,47
2.95,87.2,3.822,58
4.88,61.98,5.118,20
6.75,87.14,5.095,79
9.13,56.27,5.914,56
5.87,76.45,5.754,43
4.89,71.69,2.865,98
9.76,59.84,6.008,60
3.1,54.4,3.173,52
1.6,64.02,1.34,88
6.88,75.46,5.322,66
5.0,68.98,5.998,20
3.96,64.59,5.889,13
7.42,88.52,7.727,25
6.49,62.68,6.116,36
4.87,81.79,6.932,3
3.44,66.11,4.257,47
7.74,63.77,7.544,12
7.3,68.96,5.009,60
5.8,81.2,3.47,97
9.69,61.29,7.309,28
3.86,77.87,3.717,75
2.95,65.39,2.853,81
4.62,67.19,5.743,14
5.91,79.01,5.812,31
6.49,96.73,5.859,69
5.52,65.89,4.159,66
6.7,82.2,5.713,60
3.5,71.87,2.903,77
8.89,70.25,7.225,20
5.84,85.71,7.702,11
8.23,66.56,5.033,78
6.69,63.46,7.379,4
6.91,79.6,5.633,52
7.14,90.95,6.729,47
6.9,82.5,5.614,67
7.29,60.93,7.09,11
8.66,68.85,6.589,50
6.39,84.8,4.248,89
7.42,90.81,7.739,23
5.82,77.29,4.35,81
8.88,69.21,5.959,62
4.65,91.46,4.929,53
9.6,74.25,5.294,95
5.92,68.94,6.596,14
3.14,67.25,3.811,47
6.26,63.05,6.274,18
4.64,100.0,4.761,67
7.68,89.21,5.185,99
4.69,68.44,3.245,83
5.11,92.32,6.65,23
2.22,80.33,2.586,95
5.1,79.74,4.448,60
1.15,67.82,2.486,59
2.83,69.86,2.562,88
7.52,74.58,5.819,50
7.57,55.34,4.644,61
6.85,70.13,6.857,17
4.07,75.04,4.518,54
5.9,88.1,4.305,91
5.99,68.83,6.786,9
3.68,83.12,5.457,32
9.01,54.4,4.688,78
7.75,86.67,7.733,22
5.56,66.0,5.164,40
6.05,76.3,4.316,78
6.42,79.06,5.233,52
1.92,77.1,2.999,78
5.51,73.93,5.721,28
4.64,62.58,4.357,44
4.0,66.1,4.226,54
